Energy,Cross_section_pb,pid,momentum,parent_pids,theta,phi
449.647202,7.6689e-07,,,,,
,,-13,"(0.9466430717256713, -0.11820033165009976, 65.21693184465836, 65.2239945701738)","(14, 2)",0.014626966796459856,6.158965583971104
,,39,"(-1.514594817807305, -2.3845411976111284, 316.8166155696134, 317.45685530483325)","(39, 39)",0.008916263953195891,4.146508081734317
,,-211,"(0.9724332654725472, 1.2751268681573316, 31.44556239089899, 31.486734490107338)","(1, 2101)",0.050952344495274395,0.9192691987352738
,,211,"(-0.09333588530338122, -0.11335474311793528, 1.1343615547422896, 1.1523093365281925)","(1, 2101)",0.12872816747702812,4.02354386695563
,,2112,"(-0.3830682470895731, 0.0019454159462473216, 4.441653245432949, 4.556075109580232)","(1, 2101)",0.08603273980741243,3.1365141871902043
,,22,"(0.2112188839894058, 0.9190185863652488, 20.745447056342286, 20.766867412937838)","(111, 90)",0.04542345747588104,1.344888533101501
,,22,"(0.011630191313044786, 0.15384062626767595, 4.6707400325366635, 4.673287349519715)","(111, 90)",0.033019080848835015,1.4953408963133148
,,22,"(-0.0533189974320421, 0.038585299007811394, 0.3484356658086327, 0.35459717144132075)","(111, 90)",0.186690261141223,2.5151575231549326
,,22,"(-0.4310236762279803, -0.07835269281108449, 2.6402442087147953, 2.6763426603467355)","(111, 90)",0.16442876101408085,3.3214119082405147
,,22,"(0.05603496205563846, -0.004089451783575185, 0.2641099544260328, 0.2700198300410325)","(111, 90)",0.20960500393513645,6.210334100968266
,,22,"(0.27738124930397134, 0.31002162122950094, 1.8908153514611223, 1.9360362745610542)","(111, 90)",0.216559351925538,0.84090834367489
,,,,,,
,,-13,"(0.7912044671049933, 0.9344697822815665, 20.05623248726899, 20.093851395433095)","(14, 2)",0.06097436578372714,0.8682281221503562
,,39,"(-4.512800046411927, 0.25419108670408985, 396.25675301596846, 396.78451498639686)","(39, 39)",0.011406133011390329,3.0853254201655913
,,2212,"(0.4431367577193354, -0.44790489857566274, 5.25635501765588, 5.376486552456561)","(1, 2101)",0.11929914574418071,5.492435996267316
,,-211,"(0.521286724852324, -0.8042802791869016, 6.105773670855039, 6.182116022981359)","(-213, 90)",0.15570212446031664,5.2874559742384015
,,22,"(1.7607093533764873, 0.026886128035336628, 14.235857364043676, 14.344352727827935)","(111, 90)",0.1230705743114556,0.015268867945557095
,,22,"(0.5232095337831588, -0.04692933851436223, 3.8648828022281743, 3.9004191638866317)","(111, 90)",0.13509090916787603,6.193729577979914
,,22,"(0.4631338970412, 0.062215566852494304, 3.43682753220618, 3.468450269137181)","(111, 90)",0.1351380060781456,0.13353658015914102
,,22,"(0.010119312534464082, 0.021351952403396095, 0.40223498440943367, 0.4029283919513053)","(111, 90)",0.0586756142647779,1.1282220749486649
,,,,,,
,,-13,"(2.1676384679539877, -0.515808664712729, 26.693919995606905, 26.78696033285242)","(14, 2)",0.08327779393785291,6.049571241729251
,,39,"(-5.1236800808881, -0.5671742283412256, 371.5483585516078, 372.11942111563474)","(39, 39)",0.013873418600060762,3.2518404509422014
,,-211,"(0.7598810263215637, -0.6899302186112399, 11.132802104718774, 11.180884820462433)","(1, 2101)",0.09193290062595649,5.5459979742402385
,,2212,"(0.14009392897819312, 0.14092246622797305, 6.014811575683194, 6.090795870351991)","(1, 2101)",0.03302467835119349,0.7883465139675606
,,22,"(0.7152198954001615, 0.3567164826556417, 14.830230445462373, 14.851751452717405)","(111, 90)",0.05384060303132311,0.4626477358951765
,,22,"(0.3612355710582329, 0.25233659949584436, 9.726250477634588, 9.736226848781309)","(111, 90)",0.045273393169711365,0.6097437588274323
,,211,"(0.4531874791315923, 0.42129115980064635, 4.614687815842908, 4.6580777747002875)","(221, 90)",0.13329011360542045,0.7489396563266105
,,-211,"(0.392020848095616, 0.5151745474782187, 4.021655130419959, 4.075815860983436)","(221, 90)",0.15960140207649628,0.9203254767998386
,,22,"(-0.01945433545789278, -0.014635432464741785, 0.09474985661158467, 0.09782741118650772)","(111, 90)",0.25149697335784343,3.7865620339365207
,,22,"(0.15385719940665893, 0.10110728847165318, 0.9374509210472223, 0.9553580223997885)","(111, 90)",0.19392119223661763,0.5813853080264689
,,,,,,
,,-13,"(-2.213457251424762, -0.9439054156329286, 16.28231780654984, 16.45950751470518)","(14, 2)",0.14672493285909172,3.544681866554657
,,39,"(0.16858696107569754, 1.918248415781001, 387.05005840394125, 387.5687846742909)","(39, 39)",0.004975135497828139,1.4831356729530987
,,2112,"(0.4958625386316437, -0.31163387913125656, 3.509712386098098, 3.6801994714785526)","(1, 2101)",0.16534438182372532,5.7220958311341485
,,22,"(0.40437540063202987, -0.018606998827177534, 5.11851496559072, 5.134497165060843)","(111, 90)",0.07892180858212924,6.237203570328263
,,22,"(1.2068818404227188, 0.09980133307877041, 17.68536924037846, 17.72678225881254)","(111, 90)",0.06836803079799732,0.08250581846083162
,,22,"(-0.0616497054175095, -0.16907695869043649, 3.9589896233892494, 3.963077912714034)","(111, 90)",0.0454262457166417,4.362744977960047
,,22,"(-0.0005997839198163893, -0.5748264965779571, 16.009954448688035, 16.020270513008654)","(111, 90)",0.03588892117200159,4.711345563448063
,,,,,,
,,-13,"(1.623858991474188, -0.7002887566148167, 53.05747901377139, 53.08704706139931)","(14, 2)",0.03331800361586294,5.876033011310907
,,39,"(0.7430092626578851, -0.28809001206753115, 367.8669453454221, 368.40851181976734)","(39, 39)",0.002166284349051328,5.91329751522246
,,2112,"(-0.5697138820640333, 0.427085609832879, 7.94613930924223, 8.033112580583406)","(3122, 90)",0.08936741742431727,2.4983160340167485
,,211,"(-0.4252309844045018, 0.24353952326098247, 3.6911504554669547, 3.726151413896343)","(310, 90)",0.13198721953007372,2.6214713575110205
,,-211,"(-1.5385816589741936, 0.18140515092144402, 9.583427489824162, 9.708846666197282)","(310, 90)",0.16027158321247292,3.024230342748893
,,211,"(-0.025759735771871926, -0.11654723939606157, 0.6048644915519008, 0.6321294654089612)","(310, 90)",0.19483035385056008,4.494862169488687
,,-211,"(0.15063783061792618, 0.15895899645559436, 2.7176233795618807, 2.7300029920512507)","(310, 90)",0.08041028579446403,0.8122691202435394
,,211,"(0.24346123596671254, -0.1326492002936564, 1.6876864794097568, 1.7159937708043944)","(310, 90)",0.16282549858586803,5.784306699217832
,,-211,"(0.010982484485945535, 0.20482427756119492, 1.0236957068605792, 1.053331042355028)","(310, 90)",0.1977518603699931,1.517228566946594
,,22,"(-0.20857328377473472, -0.006716240466360841, 1.3736546895241173, 1.3894153909620324)","(111, 90)",0.1507641571538884,3.173782397361367
,,22,"(-0.00409026021332063, 0.02847789080632795, 0.06225051400050295, 0.06857730664524993)","(111, 90)",0.4329257949100889,1.7134500372466106
,,,,,,
,,-13,"(-1.4970470503930815, 0.05179378798077372, 45.12336691094551, 45.14834701163461)","(-13, 90)",0.033184422161803284,3.1070091463204896
,,39,"(1.9660765716085142, 1.594001475515765, 362.8080252344407, 363.36507333144766)","(39, 39)",0.006976211372316929,0.6812630363152283
,,22,"(-0.0006582191094313615, -0.0001786976430934116, 0.010526951946102222, 0.010549023770909473)","(22, 22)",0.06469991867637066,3.40668952410618
,,-211,"(-0.5256205675757996, -1.297205113343376, 17.345036619597355, 17.40197670401889)","(1, 2101)",0.0805200433118846,4.327412496519969
,,211,"(0.3216140463037136, 0.1507532835211268, 1.0416200834626324, 1.1093305776210038)","(1, 2101)",0.3286351832911629,0.43832814574890044
,,2112,"(0.22629053836166607, 0.3021134410463277, 6.6060722208300575, 6.683222419666686)","(1, 2101)",0.05707705682937865,0.9279194715363859
,,22,"(-0.05977459161419474, -0.03477256611929051, 0.9251129453621298, 0.9276939661514236)","(111, 90)",0.07461207625653106,3.6684686595816913
,,22,"(-0.34748788754457227, 0.10141945686018929, 3.499509059198899, 3.518180977953687)","(111, 90)",0.10307246152008506,2.857616023219243
,,211,"(0.18123573754677333, -0.4099721609631549, 3.5641858806019844, 3.594972091923868)","(223, 90)",0.12510681367591267,5.128627442407392
,,-211,"(-0.13986417134095055, 0.08183266644933111, 1.4632729971830591, 1.4788191981808296)","(223, 90)",0.11029204978720293,2.612210992121184
,,211,"(0.030884621383186473, -0.3203266343825264, 1.3131977222079168, 1.3592391456417376)","(223, 90)",0.24032376137953393,4.808507899899858
,,-211,"(-0.17919487664486347, 0.01769594220943546, 2.6278894136608195, 2.637746482419615)","(223, 90)",0.06841440577309416,3.043159300714483
,,22,"(-0.017934906532269708, 0.00887990873052797, 0.5745808080281793, 0.5749292292149524)","(111, 90)",0.034816251956389606,2.6818576538910888
,,22,"(-0.1008883006994718, -0.16833429249708445, 1.2225699393951504, 1.2382213614540751)","(111, 90)",0.15916635939673376,4.172460047368835
,,22,"(0.00289416585424173, -0.0016712050015807792, 0.6482912658803734, 0.6482998801009655)","(111, 90)",0.005155081106303233,5.75951978783483
